Combination,Test_Accuracy
sentiment_length_Concreteness_Label_Numeric_Label,0.45203800183879866
sentiment_length_Concreteness_Label_Suspense_Label,0.43885994483604046
sentiment_length_Concreteness_Label_Pronoun_Label,0.443150475022985
sentiment_length_Numeric_Label_Suspense_Label,0.4400858106037389
sentiment_length_Numeric_Label_Pronoun_Label,0.44621513944223107
sentiment_length_Suspense_Label_Pronoun_Label,0.4523444682807233
sentiment_Concreteness_Label_Numeric_Label_Suspense_Label,0.43824701195219123
sentiment_Concreteness_Label_Numeric_Label_Pronoun_Label,0.4544897333741955
sentiment_Concreteness_Label_Suspense_Label_Pronoun_Label,0.4575543977934416
sentiment_Numeric_Label_Suspense_Label_Pronoun_Label,0.4511186025130248
length_Concreteness_Label_Numeric_Label_Suspense_Label,0.45479619981612013
length_Concreteness_Label_Numeric_Label_Pronoun_Label,0.450199203187251
length_Concreteness_Label_Suspense_Label_Pronoun_Label,0.43855347839411585
length_Numeric_Label_Suspense_Label_Pronoun_Label,0.4538768004903463
Concreteness_Label_Numeric_Label_Suspense_Label_Pronoun_Label,0.45173153539687405
